Current time: 0
Clientii ce asteapta: 
Task{id=38, arrivalTime=10, serviceTime=5}
Task{id=50, arrivalTime=12, serviceTime=5}
Task{id=60, arrivalTime=12, serviceTime=5}
Task{id=64, arrivalTime=12, serviceTime=5}
Task{id=86, arrivalTime=12, serviceTime=8}
Task{id=150, arrivalTime=12, serviceTime=3}
Task{id=171, arrivalTime=12, serviceTime=7}
Task{id=209, arrivalTime=12, serviceTime=4}
Task{id=258, arrivalTime=12, serviceTime=5}
Task{id=328, arrivalTime=12, serviceTime=5}
Task{id=344, arrivalTime=12, serviceTime=8}
Task{id=348, arrivalTime=12, serviceTime=5}
Task{id=353, arrivalTime=12, serviceTime=8}
Task{id=376, arrivalTime=12, serviceTime=8}
Task{id=431, arrivalTime=12, serviceTime=4}
Task{id=497, arrivalTime=12, serviceTime=7}
Task{id=637, arrivalTime=12, serviceTime=3}
Task{id=651, arrivalTime=12, serviceTime=5}
Task{id=686, arrivalTime=12, serviceTime=5}
Task{id=692, arrivalTime=12, serviceTime=4}
Task{id=849, arrivalTime=12, serviceTime=5}
Task{id=876, arrivalTime=12, serviceTime=5}
Task{id=890, arrivalTime=12, serviceTime=4}
Task{id=919, arrivalTime=12, serviceTime=5}
Task{id=960, arrivalTime=12, serviceTime=8}
Task{id=982, arrivalTime=12, serviceTime=6}
Task{id=81, arrivalTime=13, serviceTime=6}
Task{id=156, arrivalTime=13, serviceTime=3}
Task{id=271, arrivalTime=13, serviceTime=3}
Task{id=340, arrivalTime=13, serviceTime=3}
Task{id=361, arrivalTime=13, serviceTime=5}
Task{id=503, arrivalTime=13, serviceTime=5}
Task{id=516, arrivalTime=13, serviceTime=3}
Task{id=548, arrivalTime=13, serviceTime=5}
Task{id=565, arrivalTime=13, serviceTime=7}
Task{id=799, arrivalTime=13, serviceTime=3}
Task{id=815, arrivalTime=13, serviceTime=8}
Task{id=836, arrivalTime=13, serviceTime=4}
Task{id=896, arrivalTime=13, serviceTime=4}
Task{id=958, arrivalTime=13, serviceTime=5}
Task{id=18, arrivalTime=14, serviceTime=8}
Task{id=132, arrivalTime=14, serviceTime=3}
Task{id=253, arrivalTime=14, serviceTime=3}
Task{id=260, arrivalTime=14, serviceTime=4}
Task{id=324, arrivalTime=14, serviceTime=5}
Task{id=443, arrivalTime=14, serviceTime=4}
Task{id=472, arrivalTime=14, serviceTime=6}
Task{id=518, arrivalTime=14, serviceTime=3}
Task{id=536, arrivalTime=14, serviceTime=5}
Task{id=602, arrivalTime=14, serviceTime=4}
Task{id=644, arrivalTime=14, serviceTime=6}
Task{id=704, arrivalTime=14, serviceTime=4}
Task{id=765, arrivalTime=14, serviceTime=3}
Task{id=807, arrivalTime=14, serviceTime=3}
Task{id=928, arrivalTime=14, serviceTime=8}
Task{id=17, arrivalTime=15, serviceTime=6}
Task{id=42, arrivalTime=15, serviceTime=5}
Task{id=44, arrivalTime=15, serviceTime=3}
Task{id=47, arrivalTime=15, serviceTime=6}
Task{id=173, arrivalTime=15, serviceTime=4}
Task{id=198, arrivalTime=15, serviceTime=8}
Task{id=220, arrivalTime=15, serviceTime=5}
Task{id=227, arrivalTime=15, serviceTime=3}
Task{id=234, arrivalTime=15, serviceTime=5}
Task{id=249, arrivalTime=15, serviceTime=6}
Task{id=447, arrivalTime=15, serviceTime=7}
Task{id=559, arrivalTime=15, serviceTime=4}
Task{id=610, arrivalTime=15, serviceTime=6}
Task{id=650, arrivalTime=15, serviceTime=8}
Task{id=671, arrivalTime=15, serviceTime=4}
Task{id=907, arrivalTime=15, serviceTime=4}
Task{id=969, arrivalTime=15, serviceTime=6}
Task{id=984, arrivalTime=15, serviceTime=3}
Task{id=210, arrivalTime=16, serviceTime=3}
Task{id=298, arrivalTime=16, serviceTime=5}
Task{id=307, arrivalTime=16, serviceTime=5}
Task{id=321, arrivalTime=16, serviceTime=3}
Task{id=372, arrivalTime=16, serviceTime=3}
Task{id=517, arrivalTime=16, serviceTime=3}
Task{id=550, arrivalTime=16, serviceTime=5}
Task{id=570, arrivalTime=16, serviceTime=3}
Task{id=718, arrivalTime=16, serviceTime=4}
Task{id=761, arrivalTime=16, serviceTime=4}
Task{id=773, arrivalTime=16, serviceTime=4}
Task{id=784, arrivalTime=16, serviceTime=6}
Task{id=816, arrivalTime=16, serviceTime=6}
Task{id=850, arrivalTime=16, serviceTime=8}
Task{id=874, arrivalTime=16, serviceTime=5}
Task{id=981, arrivalTime=16, serviceTime=3}
Task{id=43, arrivalTime=17, serviceTime=5}
Task{id=83, arrivalTime=17, serviceTime=5}
Task{id=222, arrivalTime=17, serviceTime=5}
Task{id=231, arrivalTime=17, serviceTime=4}
Task{id=250, arrivalTime=17, serviceTime=6}
Task{id=416, arrivalTime=17, serviceTime=7}
Task{id=476, arrivalTime=17, serviceTime=5}
Task{id=485, arrivalTime=17, serviceTime=4}
Task{id=494, arrivalTime=17, serviceTime=7}
Task{id=528, arrivalTime=17, serviceTime=7}
Task{id=585, arrivalTime=17, serviceTime=4}
Task{id=655, arrivalTime=17, serviceTime=3}
Task{id=731, arrivalTime=17, serviceTime=4}
Task{id=733, arrivalTime=17, serviceTime=4}
Task{id=742, arrivalTime=17, serviceTime=5}
Task{id=811, arrivalTime=17, serviceTime=6}
Task{id=824, arrivalTime=17, serviceTime=5}
Task{id=887, arrivalTime=17, serviceTime=5}
Task{id=912, arrivalTime=17, serviceTime=7}
Task{id=952, arrivalTime=17, serviceTime=4}
Task{id=972, arrivalTime=17, serviceTime=7}
Task{id=4, arrivalTime=18, serviceTime=4}
Task{id=27, arrivalTime=18, serviceTime=6}
Task{id=31, arrivalTime=18, serviceTime=3}
Task{id=71, arrivalTime=18, serviceTime=6}
Task{id=187, arrivalTime=18, serviceTime=3}
Task{id=228, arrivalTime=18, serviceTime=4}
Task{id=235, arrivalTime=18, serviceTime=4}
Task{id=256, arrivalTime=18, serviceTime=8}
Task{id=285, arrivalTime=18, serviceTime=4}
Task{id=286, arrivalTime=18, serviceTime=5}
Task{id=357, arrivalTime=18, serviceTime=3}
Task{id=430, arrivalTime=18, serviceTime=5}
Task{id=463, arrivalTime=18, serviceTime=4}
Task{id=507, arrivalTime=18, serviceTime=8}
Task{id=524, arrivalTime=18, serviceTime=8}
Task{id=526, arrivalTime=18, serviceTime=5}
Task{id=554, arrivalTime=18, serviceTime=5}
Task{id=603, arrivalTime=18, serviceTime=8}
Task{id=828, arrivalTime=18, serviceTime=7}
Task{id=906, arrivalTime=18, serviceTime=4}
Task{id=934, arrivalTime=18, serviceTime=3}
Task{id=941, arrivalTime=18, serviceTime=8}
Task{id=968, arrivalTime=18, serviceTime=6}
Task{id=980, arrivalTime=18, serviceTime=4}
Task{id=13, arrivalTime=19, serviceTime=8}
Task{id=79, arrivalTime=19, serviceTime=3}
Task{id=115, arrivalTime=19, serviceTime=3}
Task{id=124, arrivalTime=19, serviceTime=3}
Task{id=179, arrivalTime=19, serviceTime=5}
Task{id=248, arrivalTime=19, serviceTime=8}
Task{id=347, arrivalTime=19, serviceTime=7}
Task{id=351, arrivalTime=19, serviceTime=3}
Task{id=362, arrivalTime=19, serviceTime=3}
Task{id=374, arrivalTime=19, serviceTime=7}
Task{id=404, arrivalTime=19, serviceTime=7}
Task{id=413, arrivalTime=19, serviceTime=5}
Task{id=427, arrivalTime=19, serviceTime=4}
Task{id=465, arrivalTime=19, serviceTime=4}
Task{id=530, arrivalTime=19, serviceTime=6}
Task{id=534, arrivalTime=19, serviceTime=4}
Task{id=661, arrivalTime=19, serviceTime=7}
Task{id=743, arrivalTime=19, serviceTime=8}
Task{id=871, arrivalTime=19, serviceTime=8}
Task{id=894, arrivalTime=19, serviceTime=8}
Task{id=921, arrivalTime=19, serviceTime=4}
Task{id=283, arrivalTime=20, serviceTime=4}
Task{id=371, arrivalTime=20, serviceTime=4}
Task{id=383, arrivalTime=20, serviceTime=3}
Task{id=473, arrivalTime=20, serviceTime=4}
Task{id=543, arrivalTime=20, serviceTime=6}
Task{id=544, arrivalTime=20, serviceTime=4}
Task{id=649, arrivalTime=20, serviceTime=7}
Task{id=708, arrivalTime=20, serviceTime=7}
Task{id=840, arrivalTime=20, serviceTime=4}
Task{id=84, arrivalTime=21, serviceTime=6}
Task{id=99, arrivalTime=21, serviceTime=5}
Task{id=139, arrivalTime=21, serviceTime=3}
Task{id=207, arrivalTime=21, serviceTime=8}
Task{id=319, arrivalTime=21, serviceTime=6}
Task{id=346, arrivalTime=21, serviceTime=6}
Task{id=363, arrivalTime=21, serviceTime=3}
Task{id=384, arrivalTime=21, serviceTime=4}
Task{id=571, arrivalTime=21, serviceTime=5}
Task{id=653, arrivalTime=21, serviceTime=3}
Task{id=875, arrivalTime=21, serviceTime=6}
Task{id=88, arrivalTime=22, serviceTime=4}
Task{id=166, arrivalTime=22, serviceTime=8}
Task{id=180, arrivalTime=22, serviceTime=3}
Task{id=564, arrivalTime=22, serviceTime=3}
Task{id=627, arrivalTime=22, serviceTime=3}
Task{id=667, arrivalTime=22, serviceTime=3}
Task{id=668, arrivalTime=22, serviceTime=4}
Task{id=723, arrivalTime=22, serviceTime=5}
Task{id=847, arrivalTime=22, serviceTime=3}
Task{id=964, arrivalTime=22, serviceTime=3}
Task{id=146, arrivalTime=23, serviceTime=5}
Task{id=149, arrivalTime=23, serviceTime=3}
Task{id=499, arrivalTime=23, serviceTime=5}
Task{id=533, arrivalTime=23, serviceTime=8}
Task{id=582, arrivalTime=23, serviceTime=4}
Task{id=621, arrivalTime=23, serviceTime=7}
Task{id=645, arrivalTime=23, serviceTime=4}
Task{id=706, arrivalTime=23, serviceTime=5}
Task{id=813, arrivalTime=23, serviceTime=8}
Task{id=856, arrivalTime=23, serviceTime=3}
Task{id=882, arrivalTime=23, serviceTime=6}
Task{id=925, arrivalTime=23, serviceTime=3}
Task{id=134, arrivalTime=24, serviceTime=3}
Task{id=236, arrivalTime=24, serviceTime=4}
Task{id=379, arrivalTime=24, serviceTime=5}
Task{id=393, arrivalTime=24, serviceTime=5}
Task{id=417, arrivalTime=24, serviceTime=3}
Task{id=422, arrivalTime=24, serviceTime=5}
Task{id=738, arrivalTime=24, serviceTime=3}
Task{id=759, arrivalTime=24, serviceTime=4}
Task{id=763, arrivalTime=24, serviceTime=7}
Task{id=809, arrivalTime=24, serviceTime=3}
Task{id=821, arrivalTime=24, serviceTime=5}
Task{id=910, arrivalTime=24, serviceTime=4}
Task{id=111, arrivalTime=25, serviceTime=8}
Task{id=197, arrivalTime=25, serviceTime=5}
Task{id=240, arrivalTime=25, serviceTime=4}
Task{id=289, arrivalTime=25, serviceTime=6}
Task{id=314, arrivalTime=25, serviceTime=6}
Task{id=498, arrivalTime=25, serviceTime=5}
Task{id=562, arrivalTime=25, serviceTime=4}
Task{id=735, arrivalTime=25, serviceTime=4}
Task{id=739, arrivalTime=25, serviceTime=6}
Task{id=830, arrivalTime=25, serviceTime=4}
Task{id=955, arrivalTime=25, serviceTime=4}
Task{id=108, arrivalTime=26, serviceTime=6}
Task{id=317, arrivalTime=26, serviceTime=5}
Task{id=500, arrivalTime=26, serviceTime=7}
Task{id=506, arrivalTime=26, serviceTime=5}
Task{id=568, arrivalTime=26, serviceTime=4}
Task{id=586, arrivalTime=26, serviceTime=3}
Task{id=722, arrivalTime=26, serviceTime=3}
Task{id=760, arrivalTime=26, serviceTime=5}
Task{id=771, arrivalTime=26, serviceTime=3}
Task{id=945, arrivalTime=26, serviceTime=4}
Task{id=990, arrivalTime=26, serviceTime=8}
Task{id=168, arrivalTime=27, serviceTime=8}
Task{id=201, arrivalTime=27, serviceTime=6}
Task{id=225, arrivalTime=27, serviceTime=5}
Task{id=305, arrivalTime=27, serviceTime=4}
Task{id=386, arrivalTime=27, serviceTime=7}
Task{id=555, arrivalTime=27, serviceTime=6}
Task{id=609, arrivalTime=27, serviceTime=8}
Task{id=664, arrivalTime=27, serviceTime=5}
Task{id=701, arrivalTime=27, serviceTime=5}
Task{id=788, arrivalTime=27, serviceTime=5}
Task{id=800, arrivalTime=27, serviceTime=5}
Task{id=802, arrivalTime=27, serviceTime=5}
Task{id=1, arrivalTime=28, serviceTime=5}
Task{id=56, arrivalTime=28, serviceTime=6}
Task{id=126, arrivalTime=28, serviceTime=8}
Task{id=274, arrivalTime=28, serviceTime=3}
Task{id=397, arrivalTime=28, serviceTime=5}
Task{id=401, arrivalTime=28, serviceTime=5}
Task{id=458, arrivalTime=28, serviceTime=3}
Task{id=477, arrivalTime=28, serviceTime=7}
Task{id=628, arrivalTime=28, serviceTime=8}
Task{id=720, arrivalTime=28, serviceTime=8}
Task{id=905, arrivalTime=28, serviceTime=3}
Task{id=948, arrivalTime=28, serviceTime=7}
Task{id=962, arrivalTime=28, serviceTime=6}
Task{id=985, arrivalTime=28, serviceTime=8}
Task{id=46, arrivalTime=29, serviceTime=6}
Task{id=165, arrivalTime=29, serviceTime=5}
Task{id=288, arrivalTime=29, serviceTime=3}
Task{id=293, arrivalTime=29, serviceTime=4}
Task{id=303, arrivalTime=29, serviceTime=3}
Task{id=352, arrivalTime=29, serviceTime=5}
Task{id=433, arrivalTime=29, serviceTime=3}
Task{id=502, arrivalTime=29, serviceTime=5}
Task{id=589, arrivalTime=29, serviceTime=7}
Task{id=717, arrivalTime=29, serviceTime=6}
Task{id=793, arrivalTime=29, serviceTime=4}
Task{id=829, arrivalTime=29, serviceTime=6}
Task{id=944, arrivalTime=29, serviceTime=6}
Task{id=989, arrivalTime=29, serviceTime=4}
Task{id=36, arrivalTime=30, serviceTime=3}
Task{id=131, arrivalTime=30, serviceTime=6}
Task{id=159, arrivalTime=30, serviceTime=3}
Task{id=169, arrivalTime=30, serviceTime=5}
Task{id=175, arrivalTime=30, serviceTime=6}
Task{id=216, arrivalTime=30, serviceTime=5}
Task{id=356, arrivalTime=30, serviceTime=3}
Task{id=448, arrivalTime=30, serviceTime=5}
Task{id=457, arrivalTime=30, serviceTime=4}
Task{id=639, arrivalTime=30, serviceTime=5}
Task{id=698, arrivalTime=30, serviceTime=6}
Task{id=789, arrivalTime=30, serviceTime=6}
Task{id=901, arrivalTime=30, serviceTime=7}
Task{id=902, arrivalTime=30, serviceTime=5}
Task{id=39, arrivalTime=31, serviceTime=5}
Task{id=40, arrivalTime=31, serviceTime=6}
Task{id=172, arrivalTime=31, serviceTime=5}
Task{id=242, arrivalTime=31, serviceTime=5}
Task{id=487, arrivalTime=31, serviceTime=7}
Task{id=527, arrivalTime=31, serviceTime=4}
Task{id=549, arrivalTime=31, serviceTime=6}
Task{id=574, arrivalTime=31, serviceTime=3}
Task{id=596, arrivalTime=31, serviceTime=4}
Task{id=641, arrivalTime=31, serviceTime=6}
Task{id=740, arrivalTime=31, serviceTime=3}
Task{id=825, arrivalTime=31, serviceTime=4}
Task{id=973, arrivalTime=31, serviceTime=4}
Task{id=65, arrivalTime=32, serviceTime=5}
Task{id=104, arrivalTime=32, serviceTime=4}
Task{id=202, arrivalTime=32, serviceTime=3}
Task{id=295, arrivalTime=32, serviceTime=3}
Task{id=332, arrivalTime=32, serviceTime=4}
Task{id=456, arrivalTime=32, serviceTime=8}
Task{id=755, arrivalTime=32, serviceTime=4}
Task{id=783, arrivalTime=32, serviceTime=5}
Task{id=805, arrivalTime=32, serviceTime=4}
Task{id=822, arrivalTime=32, serviceTime=6}
Task{id=869, arrivalTime=32, serviceTime=7}
Task{id=950, arrivalTime=32, serviceTime=3}
Task{id=244, arrivalTime=33, serviceTime=3}
Task{id=292, arrivalTime=33, serviceTime=8}
Task{id=369, arrivalTime=33, serviceTime=7}
Task{id=373, arrivalTime=33, serviceTime=4}
Task{id=405, arrivalTime=33, serviceTime=3}
Task{id=482, arrivalTime=33, serviceTime=7}
Task{id=567, arrivalTime=33, serviceTime=4}
Task{id=681, arrivalTime=33, serviceTime=5}
Task{id=791, arrivalTime=33, serviceTime=7}
Task{id=141, arrivalTime=34, serviceTime=5}
Task{id=262, arrivalTime=34, serviceTime=7}
Task{id=272, arrivalTime=34, serviceTime=5}
Task{id=273, arrivalTime=34, serviceTime=5}
Task{id=318, arrivalTime=34, serviceTime=4}
Task{id=335, arrivalTime=34, serviceTime=3}
Task{id=388, arrivalTime=34, serviceTime=4}
Task{id=501, arrivalTime=34, serviceTime=8}
Task{id=780, arrivalTime=34, serviceTime=5}
Task{id=879, arrivalTime=34, serviceTime=4}
Task{id=32, arrivalTime=35, serviceTime=4}
Task{id=92, arrivalTime=35, serviceTime=4}
Task{id=98, arrivalTime=35, serviceTime=4}
Task{id=117, arrivalTime=35, serviceTime=8}
Task{id=151, arrivalTime=35, serviceTime=8}
Task{id=593, arrivalTime=35, serviceTime=7}
Task{id=604, arrivalTime=35, serviceTime=3}
Task{id=613, arrivalTime=35, serviceTime=4}
Task{id=677, arrivalTime=35, serviceTime=3}
Task{id=827, arrivalTime=35, serviceTime=3}
Task{id=52, arrivalTime=36, serviceTime=6}
Task{id=176, arrivalTime=36, serviceTime=4}
Task{id=185, arrivalTime=36, serviceTime=8}
Task{id=337, arrivalTime=36, serviceTime=3}
Task{id=616, arrivalTime=36, serviceTime=5}
Task{id=674, arrivalTime=36, serviceTime=4}
Task{id=778, arrivalTime=36, serviceTime=4}
Task{id=826, arrivalTime=36, serviceTime=8}
Task{id=872, arrivalTime=36, serviceTime=5}
Task{id=886, arrivalTime=36, serviceTime=4}
Task{id=992, arrivalTime=36, serviceTime=6}
Task{id=136, arrivalTime=37, serviceTime=7}
Task{id=291, arrivalTime=37, serviceTime=4}
Task{id=300, arrivalTime=37, serviceTime=3}
Task{id=399, arrivalTime=37, serviceTime=4}
Task{id=489, arrivalTime=37, serviceTime=5}
Task{id=504, arrivalTime=37, serviceTime=7}
Task{id=619, arrivalTime=37, serviceTime=6}
Task{id=810, arrivalTime=37, serviceTime=3}
Task{id=914, arrivalTime=37, serviceTime=6}
Task{id=85, arrivalTime=38, serviceTime=4}
Task{id=309, arrivalTime=38, serviceTime=8}
Task{id=355, arrivalTime=38, serviceTime=3}
Task{id=428, arrivalTime=38, serviceTime=3}
Task{id=561, arrivalTime=38, serviceTime=5}
Task{id=592, arrivalTime=38, serviceTime=8}
Task{id=656, arrivalTime=38, serviceTime=7}
Task{id=819, arrivalTime=38, serviceTime=5}
Task{id=837, arrivalTime=38, serviceTime=7}
Task{id=855, arrivalTime=38, serviceTime=8}
Task{id=913, arrivalTime=38, serviceTime=3}
Task{id=926, arrivalTime=38, serviceTime=5}
Task{id=188, arrivalTime=39, serviceTime=5}
Task{id=252, arrivalTime=39, serviceTime=8}
Task{id=280, arrivalTime=39, serviceTime=3}
Task{id=329, arrivalTime=39, serviceTime=3}
Task{id=488, arrivalTime=39, serviceTime=4}
Task{id=552, arrivalTime=39, serviceTime=5}
Task{id=600, arrivalTime=39, serviceTime=3}
Task{id=732, arrivalTime=39, serviceTime=5}
Task{id=23, arrivalTime=40, serviceTime=4}
Task{id=25, arrivalTime=40, serviceTime=5}
Task{id=101, arrivalTime=40, serviceTime=6}
Task{id=239, arrivalTime=40, serviceTime=5}
Task{id=327, arrivalTime=40, serviceTime=3}
Task{id=394, arrivalTime=40, serviceTime=3}
Task{id=470, arrivalTime=40, serviceTime=8}
Task{id=598, arrivalTime=40, serviceTime=3}
Task{id=626, arrivalTime=40, serviceTime=7}
Task{id=659, arrivalTime=40, serviceTime=5}
Task{id=727, arrivalTime=40, serviceTime=3}
Task{id=729, arrivalTime=40, serviceTime=5}
Task{id=898, arrivalTime=40, serviceTime=5}
Task{id=19, arrivalTime=41, serviceTime=5}
Task{id=51, arrivalTime=41, serviceTime=4}
Task{id=103, arrivalTime=41, serviceTime=4}
Task{id=114, arrivalTime=41, serviceTime=3}
Task{id=350, arrivalTime=41, serviceTime=4}
Task{id=539, arrivalTime=41, serviceTime=5}
Task{id=646, arrivalTime=41, serviceTime=3}
Task{id=724, arrivalTime=41, serviceTime=8}
Task{id=908, arrivalTime=41, serviceTime=3}
Task{id=911, arrivalTime=41, serviceTime=5}
Task{id=9, arrivalTime=42, serviceTime=3}
Task{id=29, arrivalTime=42, serviceTime=5}
Task{id=61, arrivalTime=42, serviceTime=3}
Task{id=63, arrivalTime=42, serviceTime=5}
Task{id=204, arrivalTime=42, serviceTime=7}
Task{id=208, arrivalTime=42, serviceTime=4}
Task{id=268, arrivalTime=42, serviceTime=7}
Task{id=425, arrivalTime=42, serviceTime=4}
Task{id=434, arrivalTime=42, serviceTime=5}
Task{id=436, arrivalTime=42, serviceTime=8}
Task{id=446, arrivalTime=42, serviceTime=4}
Task{id=492, arrivalTime=42, serviceTime=5}
Task{id=597, arrivalTime=42, serviceTime=8}
Task{id=688, arrivalTime=42, serviceTime=4}
Task{id=767, arrivalTime=42, serviceTime=5}
Task{id=797, arrivalTime=42, serviceTime=3}
Task{id=279, arrivalTime=43, serviceTime=5}
Task{id=343, arrivalTime=43, serviceTime=7}
Task{id=734, arrivalTime=43, serviceTime=3}
Task{id=758, arrivalTime=43, serviceTime=4}
Task{id=90, arrivalTime=44, serviceTime=3}
Task{id=116, arrivalTime=44, serviceTime=3}
Task{id=118, arrivalTime=44, serviceTime=4}
Task{id=177, arrivalTime=44, serviceTime=4}
Task{id=257, arrivalTime=44, serviceTime=8}
Task{id=392, arrivalTime=44, serviceTime=4}
Task{id=406, arrivalTime=44, serviceTime=5}
Task{id=444, arrivalTime=44, serviceTime=3}
Task{id=560, arrivalTime=44, serviceTime=6}
Task{id=658, arrivalTime=44, serviceTime=4}
Task{id=903, arrivalTime=44, serviceTime=4}
Task{id=162, arrivalTime=45, serviceTime=6}
Task{id=218, arrivalTime=45, serviceTime=6}
Task{id=221, arrivalTime=45, serviceTime=5}
Task{id=420, arrivalTime=45, serviceTime=4}
Task{id=454, arrivalTime=45, serviceTime=8}
Task{id=519, arrivalTime=45, serviceTime=3}
Task{id=535, arrivalTime=45, serviceTime=6}
Task{id=578, arrivalTime=45, serviceTime=4}
Task{id=709, arrivalTime=45, serviceTime=4}
Task{id=965, arrivalTime=45, serviceTime=3}
Task{id=6, arrivalTime=46, serviceTime=6}
Task{id=74, arrivalTime=46, serviceTime=3}
Task{id=247, arrivalTime=46, serviceTime=6}
Task{id=278, arrivalTime=46, serviceTime=8}
Task{id=468, arrivalTime=46, serviceTime=4}
Task{id=513, arrivalTime=46, serviceTime=6}
Task{id=514, arrivalTime=46, serviceTime=7}
Task{id=531, arrivalTime=46, serviceTime=5}
Task{id=563, arrivalTime=46, serviceTime=5}
Task{id=569, arrivalTime=46, serviceTime=5}
Task{id=617, arrivalTime=46, serviceTime=6}
Task{id=721, arrivalTime=46, serviceTime=8}
Task{id=834, arrivalTime=46, serviceTime=3}
Task{id=878, arrivalTime=46, serviceTime=4}
Task{id=924, arrivalTime=46, serviceTime=5}
Task{id=987, arrivalTime=46, serviceTime=8}
Task{id=3, arrivalTime=47, serviceTime=4}
Task{id=26, arrivalTime=47, serviceTime=6}
Task{id=181, arrivalTime=47, serviceTime=7}
Task{id=349, arrivalTime=47, serviceTime=8}
Task{id=575, arrivalTime=47, serviceTime=4}
Task{id=633, arrivalTime=47, serviceTime=3}
Task{id=680, arrivalTime=47, serviceTime=3}
Task{id=684, arrivalTime=47, serviceTime=3}
Task{id=525, arrivalTime=48, serviceTime=4}
Task{id=608, arrivalTime=48, serviceTime=4}
Task{id=625, arrivalTime=48, serviceTime=8}
Task{id=726, arrivalTime=48, serviceTime=7}
Task{id=751, arrivalTime=48, serviceTime=3}
Task{id=781, arrivalTime=48, serviceTime=4}
Task{id=931, arrivalTime=48, serviceTime=5}
Task{id=8, arrivalTime=49, serviceTime=7}
Task{id=33, arrivalTime=49, serviceTime=4}
Task{id=102, arrivalTime=49, serviceTime=3}
Task{id=178, arrivalTime=49, serviceTime=7}
Task{id=194, arrivalTime=49, serviceTime=5}
Task{id=213, arrivalTime=49, serviceTime=4}
Task{id=237, arrivalTime=49, serviceTime=3}
Task{id=246, arrivalTime=49, serviceTime=7}
Task{id=354, arrivalTime=49, serviceTime=4}
Task{id=946, arrivalTime=49, serviceTime=8}
Task{id=979, arrivalTime=49, serviceTime=4}
Task{id=106, arrivalTime=50, serviceTime=4}
Task{id=127, arrivalTime=50, serviceTime=3}
Task{id=129, arrivalTime=50, serviceTime=5}
Task{id=148, arrivalTime=50, serviceTime=5}
Task{id=521, arrivalTime=50, serviceTime=3}
Task{id=540, arrivalTime=50, serviceTime=7}
Task{id=774, arrivalTime=50, serviceTime=3}
Task{id=779, arrivalTime=50, serviceTime=8}
Task{id=881, arrivalTime=50, serviceTime=5}
Task{id=951, arrivalTime=50, serviceTime=6}
Task{id=54, arrivalTime=51, serviceTime=3}
Task{id=152, arrivalTime=51, serviceTime=5}
Task{id=241, arrivalTime=51, serviceTime=5}
Task{id=310, arrivalTime=51, serviceTime=3}
Task{id=378, arrivalTime=51, serviceTime=3}
Task{id=408, arrivalTime=51, serviceTime=8}
Task{id=452, arrivalTime=51, serviceTime=4}
Task{id=605, arrivalTime=51, serviceTime=4}
Task{id=737, arrivalTime=51, serviceTime=4}
Task{id=917, arrivalTime=51, serviceTime=4}
Task{id=939, arrivalTime=51, serviceTime=4}
Task{id=20, arrivalTime=52, serviceTime=3}
Task{id=24, arrivalTime=52, serviceTime=5}
Task{id=215, arrivalTime=52, serviceTime=4}
Task{id=226, arrivalTime=52, serviceTime=4}
Task{id=391, arrivalTime=52, serviceTime=3}
Task{id=438, arrivalTime=52, serviceTime=8}
Task{id=529, arrivalTime=52, serviceTime=7}
Task{id=652, arrivalTime=52, serviceTime=5}
